Sex	Age	Good	Valence	Level of Agreement NP	Level of Confidence NP	Level of Agreement NF	Level of Confidence NF
Male	35	Hedonic	Positive	1	1	3	7
Female	43	Hedonic	Negative	1	4	1	7
Female	30	Hedonic	Positive	1	5	7	7
Male	26	Hedonic	Positive	1	6	1	6
Male	43	Hedonic	Negative	1	6	2	6
Female	34	Hedonic	Positive	1	6	5	4
Male	65	Hedonic	Positive	1	6	6	5
Male	25	Hedonic	Positive	1	6	7	7
Female	43	Hedonic	Negative	1	7	1	6
Male	33	Hedonic	Negative	1	7	1	7
Female	28	Hedonic	Negative	1	7	1	7
Male	21	Hedonic	Negative	1	7	1	7
Female	28	Hedonic	Negative	1	7	1	7
Female	47	Hedonic	Negative	1	7	1	7
Male	35	Hedonic	Negative	1	7	1	7
Male	60	Hedonic	Positive	1	7	1	7
Female	36	Hedonic	Positive	1	7	1	7
Male	26	Hedonic	Positive	1	7	1	7
Female	22	Hedonic	Negative	1	7	3	3
Male	72	Hedonic	Negative	1	7	3	4
Male	27	Hedonic	Negative	1	7	3	6
Female	23	Hedonic	Negative	1	7	3	7
Female	35	Hedonic	Negative	1	7	4	4
Male	39	Hedonic	Negative	1	7	4	5
Male	35	Hedonic	Negative	1	7	4	7
Male	43	Hedonic	Positive	1	7	5	6
Male	22	Hedonic	Negative	1	7	5	7
Male	25	Hedonic	Positive	1	7	6	6
Female	21	Hedonic	Negative	1	7	6	7
Female	23	Hedonic	Negative	1	7	7	7
Male	26	Hedonic	Negative	1	7	7	7
Male	48	Hedonic	Negative	1	7	7	7
Female	32	Hedonic	Negative	1	7	7	7
Female	52	Hedonic	Positive	1	7	7	7
Male	26	Hedonic	Positive	1	7	7	7
Female	39	Hedonic	Positive	1	7	7	7
Female	34	Hedonic	Positive	1	7	7	7
Male	55	Hedonic	Positive	1	7	7	7
Male	29	Hedonic	Positive	2	2	2	1
Female	32	Hedonic	Negative	2	2	4	6
Male	44	Hedonic	Positive	2	2	7	7
Male	40	Hedonic	Negative	2	4	3	6
Female	38	Hedonic	Negative	2	5	2	4
Male	24	Hedonic	Negative	2	5	2	4
Male	64	Hedonic	Negative	2	5	2	7
Female	52	Hedonic	Positive	2	5	5	4
Male	34	Hedonic	Positive	2	5	7	6
Male	62	Hedonic	Positive	2	6	2	5
Male	27	Hedonic	Negative	2	6	2	6
Male	25	Hedonic	Negative	2	6	2	6
Female	32	Hedonic	Negative	2	6	6	2
Female	37	Hedonic	Negative	2	6	6	6
Female	23	Hedonic	Positive	2	6	6	6
Female	33	Hedonic	Negative	2	6	6	7
Male	83	Hedonic	Negative	2	6	7	7
Male	25	Hedonic	Negative	2	6	7	7
Male	26	Hedonic	Negative	2	7	1	5
Female	53	Hedonic	Negative	2	7	1	7
Female	56	Hedonic	Positive	2	7	1	7
Female	22	Hedonic	Negative	2	7	3	5
Female	35	Hedonic	Negative	2	7	4	5
Male	26	Hedonic	Positive	2	7	5	7
Male	25	Hedonic	Positive	2	7	6	7
Male	26	Hedonic	Negative	2	7	7	6
Female	47	Hedonic	Negative	2	7	7	7
Male	27	Hedonic	Negative	3	3	4	2
Male	21	Hedonic	Negative	3	3	4	3
Male	45	Hedonic	Positive	3	3	4	4
Male	25	Hedonic	Positive	3	3	5	3
Male	49	Hedonic	Negative	3	3	6	3
Male	31	Hedonic	Negative	3	3	6	5
Male	29	Hedonic	Positive	3	3	7	7
Male	27	Hedonic	Positive	3	4	6	5
Male	22	Hedonic	Positive	3	4	7	7
Male	23	Hedonic	Negative	3	5	2	7
Female	45	Hedonic	Positive	3	5	5	5
Male	34	Hedonic	Positive	3	5	5	6
Male	28	Hedonic	Negative	3	5	6	2
Male	40	Hedonic	Positive	3	6	2	5
Female	32	Hedonic	Positive	3	6	2	6
Male	37	Hedonic	Negative	3	6	3	6
Female	25	Hedonic	Negative	3	6	3	6
Female	37	Hedonic	Positive	3	6	5	4
